,,,,,,,,,,,,,English
,"Feb 23, 2026 8:45 AM",Dale Wagner Insurance,a0fc32bb-8cce-4149-bd1b-75817419bf86,https://app.policylift.ai/calls/a0fc32bb-8cce-4149-bd1b-75817419bf86,completed,unknown,service,general_inquiry,Brenda Fordson requests urgent callback for account help,0:00:31,9,"assistant: Hi - Thanks for calling Dale Wagner Insurance,this is Kelly on a recorded line. How can I help?

user: I need my $10.90 $10.95 a
assistant: Oh,
user: need for you to get into my account. To finish my taxes.
assistant: Sorry, I can't look up or access your account info. If you need help with your policy or paperwork, I can take a message for an agent. What’s your name and when do you want a call back?
user: My name is Brenda Fordson. You can call me back ASAP.
assistant: Thanks for calling us, we appreciate your time. Have a great day! Goodbye.
user: At (215) 594-0205.
assistant: Got it, Brenda. Just so you know, leaving a message won't automatically bind, change, or delete coverage. One of our licensed agents will call you","=AI(""Please analyze the transcript in  and output a single enumerator, either english or spanish."" & M678)"
,"Dec 17, 2025 11:48 AM",FOCO Insurance Services,673f53b3-d8e4-4067-8927-906430cc3d7b,https://app.policylift.ai/calls/673f53b3-d8e4-4067-8927-906430cc3d7b,completed,unknown,unknown,unknown,Customer asked about vehicle registration process,0:00:31,7,"assistant: Hi there. This is Kelly from FOCO Insurance Services. How can I help you today?
user: Hey, Kelly. Is there a way that I can get registration for my vehicle?
assistant: Thanks for your question. FOCO Insurance Services does not process vehicle registrations. We focus on providing insurance
assistant: Yes, I am still here. Is there anything else I can help you with today, such as starting an insurance quote or answering questions about coverage?
user: Hello?
user: No.
assistant: Thanks for calling us, we appreciate your time. Have a great day! Goodbye.","=AI(""Please analyze the transcript in  and output a single enumerator, either english or spanish."" & M679)"
,"Feb 12, 2026 10:52 AM",E&L Insurance Services,b884ee01-1b80-484a-abe8-b55c1a032429,https://app.policylift.ai/calls/b884ee01-1b80-484a-abe8-b55c1a032429,completed,unknown,service,policy_change_endorsement,Customer requests update for renovated home policy,0:00:31,7,"assistant: Hi - Thanks for calling E&L Insurance Services,this is Kelly on a recorded line. How can I help?

user: Hey, Kelly. Do you offer home insurance?
assistant: Yeah, we do offer home insurance. Are you looking for coverage for your house, or maybe a condo or mobile home?
user: Well, no. I actually already have home insurance with you guys.
assistant: Oh, okay. No problem. What do you need help with on your current home insurance policy?
user: I think I need to update something because I did a big renovation on my property, and I also got a new roof.
assistant: Let me connect you with one of our agents who can help you further. Please hold for a moment.",English
,"Jan 31, 2026 6:58 PM",Seguros Ideal,42d99e2d-1c17-4a57-8150-8dc5608e8573,https://app.policylift.ai/calls/42d99e2d-1c17-4a57-8150-8dc5608e8573,filtered,unknown,unknown,unknown,Insurance call greeting by Seguros Ideal agent Kelly,0:00:04,1,"assistant: Hi this is Kelly with Seguros Ideal on a recorded line. Si desea continuar en español, diga ""Español"".",
,"Feb 26, 2026 7:04 PM",The Gordon Agency,1f6be3c1-7078-4106-936a-3bcabdf1b398,https://app.policylift.ai/calls/1f6be3c1-7078-4106-936a-3bcabdf1b398,completed,unknown,unknown,unknown,Caller requests to speak with Michael,0:00:31,6,"assistant: Hi - Thanks for calling The Gordon Agency,this is Kelly on a recorded line. How can I help?

user: Hello?
assistant: Yeah, I'm here. What do you need help with today?
user: Need to talk to Michael today, please.
assistant: Oh, okay. Michael’s actually out right now since the agency's closed. Do you want me to have him call you back when we're open tomorrow? What did you want to talk about?
user: Okay. I'll email.","=AI(""Please analyze the transcript in  and output a single enumerator, either english or spanish."" & M682)"
,"Jan 31, 2026 12:30 PM",FOCO Insurance Services,67c00550-e468-415c-b795-2222362f1521,https://app.policylift.ai/calls/67c00550-e468-415c-b795-2222362f1521,completed,unknown,unknown,unknown,"Cliente llama fuera de horario, cuelga para llamar después.",0:00:31,6,"assistant: Hi this is Kelly with FOCO Insurance on a recorded line. Si desea continuar en español, diga ""Español"".
user: Español.
assistant: Hola, gracias por llamar a FOCO Insurance Services. La agencia está cerrada en este momento, pero igual puedo ayudarte con información general, tomar mensajes, o empezar tu cotización de seguro si quieres. ¿Qué tipo de seguro necesitas o en qué puedo ayudarte hoy?
user: No, llamo más tarde.
assistant: Gracias por su tiempo. ¡Adiós!

user: Gracias.","=AI(""Please analyze the transcript in  and output a single enumerator, either english or spanish."" & M683)"
,"Dec 26, 2025 1:09 PM",Dale Wagner Insurance,cb39249e-44bc-4768-9800-9cec17019f67,https://app.policylift.ai/calls/cb39249e-44bc-4768-9800-9cec17019f67,completed,unknown,unknown,unknown,April asks about Chrissy and office hours,0:00:31,5,"assistant: Hi there. This is Kelly from Dale Wagner Insurance. How can I help you today?
user: Hello. This is April. How are doing today? Is Chrissy in?
assistant: Hi April. I am doing well, thank you for asking. Dale Wagner Insurance is currently closed, and Chrissy is not available right now. Is there something I can help you with or would you like to leave a message for Chrissy?
user: No. When you guys open back? Monday?
assistant: We will open again on Monday at 9 am. Is there anything else I can help you with today?","=AI(""Please analyze the transcript in  and output a single enumerator, either english or spanish."" & M684)"
,"Feb 01, 2026 11:04 AM",Seguros Ideal,37ca29b5-0658-45b6-a9b6-72f7cdd12a60,https://app.policylift.ai/calls/37ca29b5-0658-45b6-a9b6-72f7cdd12a60,filtered,unknown,unknown,unknown,Seguros Ideal agent opens call for language preference.,0:00:00,1,"assistant: Hi this is Kelly with Seguros Ideal on a recorded line. Si desea continuar en español, diga ""Español"".",
,"Feb 21, 2026 10:53 PM",Dale Wagner Insurance,08c9e805-c559-48ff-98ad-2f5fe8479b12,https://app.policylift.ai/calls/08c9e805-c559-48ff-98ad-2f5fe8479b12,completed,unknown,service,billing_payment,"Customer wanted to pay bill, not our carrier",0:00:31,5,"assistant: Hi - Thanks for calling Dale Wagner Insurance,this is Kelly on a recorded line. How can I help?

user: I wanna pay my bill.
assistant: Oh, okay. Right now the office is closed, so I can’t process any payments directly. For most carriers, you can pay online or by phone anytime. Which company is your policy with?
user: Chicago insurance.
assistant: Got it. We don’t actually work with Chicago Insurance, so I can’t access your account or help with payments for them. You’ll want to check their website or call their customer service.

Anything else you need help with while you’re here?","=AI(""Please analyze the transcript in  and output a single enumerator, either english or spanish."" & M686)"
,"Feb 01, 2026 3:42 PM",FOCO Insurance Services,a5c820f2-7ca2-4c6a-b87c-5dbe95b8adb2,https://app.policylift.ai/calls/a5c820f2-7ca2-4c6a-b87c-5dbe95b8adb2,filtered,unknown,unknown,unknown,FOCO Insurance offers to continue call in Spanish.,0:00:30,1,"assistant: Hi this is Kelly with FOCO Insurance on a recorded line. Si desea continuar en español, diga ""Español"".",
,"Feb 11, 2026 4:43 PM",All Texas Insurance Brokers,b2874b89-6e33-46de-bd8d-2cd48566e0a6,https://app.policylift.ai/calls/b2874b89-6e33-46de-bd8d-2cd48566e0a6,completed,unknown,unknown,unknown,Callback request for Jason Bean from customer,0:00:31,7,"assistant: Hi - Thanks for calling All Texas Insurance Brokers,this is Kelly on a recorded line. How can I help?

user: Hey, Kelly. I'm trying to get in contact with Jason Bean.
assistant: Oh, okay. Jason’s actually with another customer right now. Did you want to leave a message for him, or is there something I can help with?
user: Can you just please have him call me back?
assistant: Yeah. No problem, I’ll let him know to give you a call back. What’s the best number for him to reach you at?
user: Let's say two two two five four five four one.
assistant: Let me connect you with one of our agents who can help you further. Please hold for a moment.","=AI(""Please analyze the transcript in  and output a single enumerator, either english or spanish."" & M688)"
,"Feb 01, 2026 4:04 PM",FOCO Insurance Services,99e8b5d9-4c2e-4897-b7bc-cf426816cde0,https://app.policylift.ai/calls/99e8b5d9-4c2e-4897-b7bc-cf426816cde0,filtered,unknown,unknown,unknown,Introduction from Kelly at FOCO Insurance.,0:00:00,1,"assistant: Hi this is Kelly with FOCO Insurance on a recorded line. Si desea continuar en español, diga ""Español"".",
,"Jan 21, 2026 4:15 PM",Dale Wagner Insurance,389e6743-ec3f-4b6e-b6ce-39b5aa8b5140,https://app.policylift.ai/calls/389e6743-ec3f-4b6e-b6ce-39b5aa8b5140,completed,unknown,unknown,unknown,Caller requested Spanish-speaking insurance agent help.,0:00:31,5,"assistant: Hi - Thanks for calling Dale Wagner Insurance,this is Kelly on a recorded line. How can I help?

user: Hello. I need someone to speak Spanish.
assistant: Hey there, you’ve reached Dale Wagner Insurance. We’re actually closed right now, but I’m here to help answer general questions or get a quote started. What kind of insurance are you looking for today?
user: I need someone speak Spanish.
assistant: Hi there. Thanks for calling Dale Wagner Insurance. We're actually closed right now, but I'm here","=AI(""Please analyze the transcript in  and output a single enumerator, either english or spanish."" & M690)"
,"Feb 07, 2026 12:44 PM",Dale Wagner Insurance,1da752d3-25ae-498e-9f60-fe2e77826117,https://app.policylift.ai/calls/1da752d3-25ae-498e-9f60-fe2e77826117,completed,unknown,service,billing_payment,Customer requested help making a payment,0:00:32,5,"assistant: Hi - Thanks for calling Dale Wagner Insurance,this is Kelly on a recorded line. How can I help?

user: Hello?
assistant: Yeah, I’m here. What can I help you with today?
user: Make a payment.
assistant: Oh, okay. Right now we’re actually closed, so I can’t process a payment myself. I’d be happy to pass a message to a licensed agent to follow up. Can I get your name and when you’d like them to call you back?",english
,"Feb 01, 2026 7:37 PM",FOCO Insurance Services,da7f91a9-8370-4128-bd8e-b7e3dfc41e22,https://app.policylift.ai/calls/da7f91a9-8370-4128-bd8e-b7e3dfc41e22,filtered,unknown,unknown,unknown,Kelly greets caller for FOCO Insurance options.,0:00:43,1,"assistant: Hi this is Kelly with FOCO Insurance on a recorded line. Si desea continuar en español, diga ""Español"".",
,"Jan 30, 2026 7:51 PM",JAMCO Insurance,86ee7290-5ff7-4fd0-902b-ff52bb350950,https://app.policylift.ai/calls/86ee7290-5ff7-4fd0-902b-ff52bb350950,completed,unknown,service,cancellation_reinstatement,Customer requested to cancel their policy.,0:00:32,5,"assistant: Hi this is Kelly on a recorded line, if you're already working with an agent at JAMCO, just let me know. Otherwise I'm here to help.
user: No.
assistant: Alright, thanks for letting me know. What can I help you with today? Are you looking
user: Cancel policy.
assistant: Let me connect you with one of our agents who can help you further. Please hold for a moment.",English
,"Feb 12, 2026 3:06 PM",Dale Wagner Insurance,8d16cf76-4751-49b4-8547-d5aef8622744,https://app.policylift.ai/calls/8d16cf76-4751-49b4-8547-d5aef8622744,completed,unknown,service,policy_change_endorsement,Customer calls back to provide VIN number.,0:00:32,4,"assistant: Hi - Thanks for calling Dale Wagner Insurance,this is Kelly on a recorded line. How can I help?

user: Yes. I have the VIN number I was just talking to you not too long ago.
assistant: Oh, okay. You’re following up with a VIN number for your policy. Yeah. No problem. Let me get a licensed agent on the line for you.
assistant: Let me connect you with one of our agents who can help you further. Please hold for a moment.",English
,"Feb 02, 2026 8:21 AM",Dale Wagner Insurance,7aab8d46-1550-4da4-a85f-b0cde176d79b,https://app.policylift.ai/calls/7aab8d46-1550-4da4-a85f-b0cde176d79b,filtered,unknown,unknown,unknown,Customer initial insurance inquiry with Kelly at Dale Wagner,0:00:03,1,"assistant: Hi - Thanks for calling Dale Wagner Insurance,this is Kelly on a recorded line. How can I help?
",
,"Feb 13, 2026 11:21 AM",CoverLink Insurance,7d7897fc-cef2-4e64-94e5-57779cf2fb8e,https://app.policylift.ai/calls/7d7897fc-cef2-4e64-94e5-57779cf2fb8e,completed,unknown,service,policy_change_endorsement,Customer requested auto policy change assistance,0:00:32,5,"assistant: Hi - Thanks for calling CoverLink Insurance,this is Kelly on a recorded line. How can I help?

user: Hi, Kelly. I need to, make a change
assistant: Oh,
user: to my auto policy.
assistant: Got it. Let me get you over to a licensed agent who can help with changes to your car insurance.","=AI(""Please analyze the transcript in  and output a single enumerator, either english or spanish."" & M696)"
,"Feb 11, 2026 1:08 PM",Dale Wagner Insurance,4b9ea7ee-9787-4651-a32b-d622cef93af5,https://app.policylift.ai/calls/4b9ea7ee-9787-4651-a32b-d622cef93af5,completed,unknown,service,document_request,Request for insurance ID card for inspection,0:00:32,7,"assistant: Hi - Thanks for calling Dale Wagner Insurance,this is Kelly on a recorded line. How can I help?

user: Hi. I'm trying to get an insurance ID card for a mutual customer.
assistant: Oh, got it. Can I get your name and what you need the ID card for? Also, when's a good time for a licensed agent to call you back?
user: My name is Ryan from Hoffman Ford. I need it to perform state inspection on a customer's vehicle.
assistant: Okay, thanks Ryan. When would you like a call back from a licensed agent?
user: As soon as possible, please.
assistant: Thanks for calling us, we appreciate your time. Have a great day! Goodbye.","=AI(""Please analyze the transcript in  and output a single enumerator, either english or spanish."" & M697)"
,"Feb 02, 2026 10:55 AM",Seguros Ideal,20c2fda2-9d3d-4558-ac25-67029b5306b0,https://app.policylift.ai/calls/20c2fda2-9d3d-4558-ac25-67029b5306b0,filtered,unknown,unknown,unknown,Seguros Ideal call introduction offered Spanish option,0:00:00,1,"assistant: Hi this is Kelly with Seguros Ideal on a recorded line. Si desea continuar en español, diga ""Español"".",
,"Mar 06, 2026 5:54 PM",Norton Insurance,b5e5bcd7-3279-4254-b100-a2ee616fbcf8,https://app.policylift.ai/calls/b5e5bcd7-3279-4254-b100-a2ee616fbcf8,completed,personal,quote,personal_homeowners,Pat Mayo requests callback to bind insurance.,0:00:32,7,"assistant: Hi - Thanks for calling Norton Insurance,this is Kelly on a recorded line. How can I help?

user: Hi. Is Rhonda still there by any chance? This is Pat Mayo calling her back.
assistant: Yeah. Actually, the office is closed right now, so Rhonda's not in.  Want me to take a message for her?  If you let me
user: Oh, it's a it's okay. Could if you just ask her to give me a call Monday morning so I can bind this insurance, this homeowner's policy.
assistant: Got it, Pat. I'll let Rhonda know you want a call Monday morning to bind your homeowner's policy.  Just so you know, leaving a message
user: Very good.
assistant: Thanks for calling us, we appreciate your time. Have a great day! Goodbye.","=AI(""Please analyze the transcript in  and output a single enumerator, either english or spanish."" & M699)"
,"Mar 04, 2026 7:04 PM",LSM Agency,093f8fcc-0b79-47dc-9bb1-49d178ac5090,https://app.policylift.ai/calls/093f8fcc-0b79-47dc-9bb1-49d178ac5090,spam,unknown,unknown,unknown,Caller repeats phone verification codes to agent,0:00:32,34,"assistant: Hi - Thanks for calling LSM Agency,this is Kelly on a recorded line. How can I help?

user: Hi. Your phone verification code for safe calls. One.
assistant: Okay. 
user: Nine,
user: two.
assistant: Got
user: Zero
assistant: Alright.
user: six
assistant: Okay,
user: two
assistant: Got it. 
user: Again, one.
assistant: Okay. 
user: Nine
assistant: Alright. 
user: two.
assistant: Okay. Was there something you needed help with at LSM Agency today? 
user: Zero
assistant: Got
user: six
assistant: Alright. Are you needing an insurance quote or do you have a question about an existing policy? 
user: two
assistant: Okay. 
user: One last time, one.
user: Nine
user: two.
assistant: Alright.
user: Zero
assistant: Got it. Is there anything for LSM Agency I can help you with today? 
user: six
assistant: Okay. If you're just reading a code, is there something specific you need from the agency, or was there another reason for your call? 
user: two
assistant: Got ",English
,"Feb 02, 2026 6:30 PM",Dale Wagner Insurance,a62b5f5a-d7dc-4234-8b0f-6a1b1da9e4e0,https://app.policylift.ai/calls/a62b5f5a-d7dc-4234-8b0f-6a1b1da9e4e0,filtered,unknown,unknown,unknown,Customer initiates insurance inquiry with Kelly.,0:00:03,1,"assistant: Hi - Thanks for calling Dale Wagner Insurance,this is Kelly on a recorded line. How can I help?
",
,"Feb 25, 2026 2:48 PM",Dale Wagner Insurance,2c4f416f-653b-4ec3-aad6-02a9486d7803,https://app.policylift.ai/calls/2c4f416f-653b-4ec3-aad6-02a9486d7803,completed,unknown,service,general_inquiry,Customer requested agent callback for policy help,0:00:32,7,"assistant: Hi - Thanks for calling Dale Wagner Insurance,this is Kelly on a recorded line. How can I help?

user: Agent
assistant: Got it. Are you looking for a quote, or do you need help with an existing policy?
user: this is policy.
assistant: Okay, I can help with that. What's your name, and what do you need help with on your policy?
user: I wanna speak to an agent.
assistant: Yeah, no problem. Just need your name and what you need help with, and I’ll have a licensed agent give you a call back. What’s the best time for them to reach you?","=AI(""Please analyze the transcript in  and output a single enumerator, either english or spanish."" & M702)"
,"Feb 02, 2026 10:27 PM",Seguros Ideal,e1eef38a-1a05-4abc-ab15-03b69dd12bf7,https://app.policylift.ai/calls/e1eef38a-1a05-4abc-ab15-03b69dd12bf7,filtered,unknown,unknown,unknown,Insurance call greeting and language selection offered.,0:00:00,1,"assistant: Hi this is Kelly with Seguros Ideal on a recorded line. Si desea continuar en español, diga ""Español"".",
,"Jan 22, 2026 6:10 PM",Charles Katz Insurance,6f2baffc-79c2-4856-b3ce-0f976a88fa8e,https://app.policylift.ai/calls/6f2baffc-79c2-4856-b3ce-0f976a88fa8e,completed,unknown,service,unknown,Customer requested help making an insurance payment,0:00:32,6,"assistant: Hi - Thanks for calling Charles Katz Insurance,this is Kelly on a recorded line. How can I help?

user: Hey, Kelly. What kind of insurance do you guys offer? Also, when were you guys founded?
assistant: Yeah, no problem. We offer pretty much everything – car, home, renters, business, life, motorcycle, boat, RV, pet, flood, jewelry, mobile home, condo, umbrella, plus business policies
user: Yeah. I don't really actually care about all that. I just wanna get help paying my policy.
assistant: Okay, got it. So you need help making a payment on your policy. Let me try to get a licensed agent on the line for you.
assistant: Let me connect you with one of our agents who can help you further. Please hold for a moment.","=AI(""Please analyze the transcript in  and output a single enumerator, either english or spanish."" & M704)"
,"Mar 02, 2026 4:00 PM",Garage Sentinel,7ada317f-c9ca-4a6a-acb5-d31688526a15,https://app.policylift.ai/calls/7ada317f-c9ca-4a6a-acb5-d31688526a15,completed,unknown,claim,claim_follow_up,Follow-up on February 11th estimate request,0:00:33,4,"assistant: Hi - Thanks for calling Garage Sentinel,this is Kelly on a recorded line. How can I help?

user: I'm trying to follow-up on a call and estimate that I submitted on the eleventh.
assistant: Oh, okay. You’re checking on the estimate from February eleventh. I can try to get a licensed agent on the line for you. Hang on just a second.
assistant: Let me connect you with one of our agents who can help you further. Please hold for a moment.","=AI(""Please analyze the transcript in  and output a single enumerator, either english or spanish."" & M705)"
,"Feb 03, 2026 8:39 AM",Dale Wagner Insurance,26ffacea-b448-4446-b2ee-74eb2832c27f,https://app.policylift.ai/calls/26ffacea-b448-4446-b2ee-74eb2832c27f,filtered,unknown,unknown,unknown,Customer called Dale Wagner Insurance; initial greeting by Kelly.,0:00:03,1,"assistant: Hi - Thanks for calling Dale Wagner Insurance,this is Kelly on a recorded line. How can I help?
",
,"Feb 03, 2026 8:54 AM",Dale Wagner Insurance,45e8bbfd-6f6e-4db5-9b65-71ce4779a158,https://app.policylift.ai/calls/45e8bbfd-6f6e-4db5-9b65-71ce4779a158,filtered,unknown,unknown,unknown,"Customer called Dale Wagner Insurance, greeted by Kelly.",0:00:00,1,"assistant: Hi - Thanks for calling Dale Wagner Insurance,this is Kelly on a recorded line. How can I help?
",
,"Feb 03, 2026 9:32 AM",Seguros Ideal,276c2997-6776-4b92-ae70-0bb1923b6e36,https://app.policylift.ai/calls/276c2997-6776-4b92-ae70-0bb1923b6e36,filtered,unknown,unknown,unknown,Call greeting from Kelly at Seguros Ideal.,0:00:00,1,"assistant: Hi this is Kelly with Seguros Ideal on a recorded line. Si desea continuar en español, diga ""Español"".",
,"Dec 24, 2025 1:23 PM",Cal-West Insurance Services Inc.,a89b0409-0413-47c9-94f3-27069ee02d87,https://app.policylift.ai/calls/a89b0409-0413-47c9-94f3-27069ee02d87,completed,unknown,unknown,unknown,Caller inquired about insurance options and services.,0:00:33,3,"assistant: Hi there. This is Kelly from Cal-West Insurance Services Inc.. How can I help you today?
user: Hello?
assistant: Hello. This is Kelly with Cal-West Insurance Services Inc.. How can I assist you today?","=AI(""Please analyze the transcript in  and output a single enumerator, either english or spanish."" & M709)"
,"Feb 03, 2026 10:00 AM",Seguros Ideal,39114086-d011-4348-aa08-6818f817a855,https://app.policylift.ai/calls/39114086-d011-4348-aa08-6818f817a855,filtered,unknown,unknown,unknown,Insurance options call introduction by Kelly from Seguros Ideal.,0:00:24,1,"assistant: Hi this is Kelly with Seguros Ideal on a recorded line. Si desea continuar en español, diga ""Español"".",
,"Feb 17, 2026 7:02 PM",Princeton Insurance,3e57456d-740d-4ebf-b816-5e6b4ea7b1f1,https://app.policylift.ai/calls/3e57456d-740d-4ebf-b816-5e6b4ea7b1f1,completed,unknown,service,general_inquiry,Lilly Colbert requests paperwork signing information,0:00:33,5,"assistant: Hi - Thanks for calling Princeton Insurance,this is Cindy on a recorded line. How can I help?

user: I was trying to see when was I supposed to sign the papers.
assistant: Oh, got it. You're wondering when you're supposed to sign your documents. I can't pull up your exact paperwork, but I can leave a message for a licensed agent to follow up and let you know. What's your name and when's the best time for them to call you back? Just so you know, leaving a message won't automatically bind, change, or delete coverage.
user: Lilly Colbert.
assistant: Thanks for calling us, we appreciate your time. Have a great day! Goodbye.",English
,"Feb 03, 2026 10:16 AM",Seguros Ideal,a8f3e5bd-7e94-475d-9c71-8728a51b55e8,https://app.policylift.ai/calls/a8f3e5bd-7e94-475d-9c71-8728a51b55e8,filtered,unknown,unknown,unknown,Bilingual greeting for insurance call from Kelly.,0:00:13,1,"assistant: Hi this is Kelly with Seguros Ideal on a recorded line. Si desea continuar en español, diga ""Español"".",
,"Feb 03, 2026 10:25 AM",Seguros Ideal,c51d76cc-3523-461a-ad09-552cb2834869,https://app.policylift.ai/calls/c51d76cc-3523-461a-ad09-552cb2834869,filtered,unknown,unknown,unknown,Customer greeted by Kelly at Seguros Ideal,0:00:17,1,"assistant: Hi this is Kelly with Seguros Ideal on a recorded line. Si desea continuar en español, diga ""Español"".",
,"Feb 21, 2026 11:05 AM",The Gordon Agency,48d5da90-4364-4447-b60a-27ca23980711,https://app.policylift.ai/calls/48d5da90-4364-4447-b60a-27ca23980711,completed,unknown,service,billing_payment,"Customer wanted to pay policy bill, declined callback.",0:00:33,10,"assistant: Hi - Thanks for calling The Gordon Agency,this is Kelly on a recorded line. How can I help?

user: I'm looking for Michael.
assistant: Oh, okay. He's actually not in right now—the agency is closed for the weekend. Is this about a new quote, or do you need help with an existing policy?
user: Policy.
assistant: Got
user: Just wanna pay my bill.
assistant: Yeah. No worries. I can't take payments directly, but I can leave Michael a message to follow up with you to help pay your bill. Can I get your name and the best time for Michael to call you back?
user: It's not gonna be it on Monday, he said. Okay.
assistant: Alright, got it. Just so you know, leaving a message won’t automatically pay your bill or change your coverage. Can I get your name and the best callback
user: Never mind.",english
,"Jan 10, 2026 12:11 PM",FOCO Insurance Services,27537648-f96d-443a-979f-17507ffdc152,https://app.policylift.ai/calls/27537648-f96d-443a-979f-17507ffdc152,completed,unknown,unknown,unknown,Requested to speak with Humberto after hours,0:00:33,5,"assistant: Hi - Thanks for calling FOCO Insurance Services,this is Kelly on a recorded line. How can I help?

user: Speak to a representative.
assistant: Yeah, no problem. The office is actually closed right now. If you let me know what you need help with or which type of insurance you’re calling about, I can make sure a licensed agent follows up as soon as we open. What’s going on today?
user: Speak to Humberto.
assistant: Oh, okay. Humberto isn't available right now since the office is closed on Saturdays after 3pm. I can let him know you called. What’s your name, and is there a","=AI(""Please analyze the transcript in  and output a single enumerator, either english or spanish."" & M715)"
,"Feb 03, 2026 10:39 AM",Seguros Ideal,6dbc5675-a50e-4c5e-a96b-40f49e5411ca,https://app.policylift.ai/calls/6dbc5675-a50e-4c5e-a96b-40f49e5411ca,filtered,unknown,unknown,unknown,Seguros Ideal agent greeted customer bilingual offering.,0:00:00,1,"assistant: Hi this is Kelly with Seguros Ideal on a recorded line. Si desea continuar en español, diga ""Español"".",
,"Feb 23, 2026 11:48 AM",Princeton Insurance,ff01ccab-8488-4a62-94fe-4bdff9359084,https://app.policylift.ai/calls/ff01ccab-8488-4a62-94fe-4bdff9359084,completed,unknown,unknown,unknown,Request to speak with customer service agent,0:00:33,7,"assistant: Hi - Thanks for calling Princeton Insurance,this is Kelly on a recorded line. How can I help?

user: Three
assistant: Oh, okay. Can you tell me what kind of insurance you're looking for?
user: to it.
assistant: Sorry,
user: Customer service agent.
assistant: Let me connect you with one of our agents who can help you further. Please hold for a moment.","=AI(""Please analyze the transcript in  and output a single enumerator, either english or spanish."" & M717)"
,"Dec 26, 2025 10:23 AM",Dale Wagner Insurance,1711f4d0-5405-4988-8d81-a762e9380b5c,https://app.policylift.ai/calls/1711f4d0-5405-4988-8d81-a762e9380b5c,completed,unknown,service,unknown,Customer requests immediate call for insurance payment,0:00:33,7,"assistant: Hi there. This is Kelly from Dale Wagner Insurance. How can I help you today?
user: Pay insurance.
assistant: I am unable to process payments directly. Would you like me to have a licensed agent contact you to assist with your
user: Yes.
assistant: Sure. May I have your name and the best time for an agent to call you back?
user: Seven one seven seven nine eight seven three zero four. My name is Renee Rivera. And immediately,
assistant: Thanks for calling us, we appreciate your time. Have a great day! Goodbye.","=AI(""Please analyze the transcript in  and output a single enumerator, either english or spanish."" & M718)"
,"Feb 03, 2026 11:11 AM",FOCO Insurance Services,20911bea-2c4d-435a-b122-8fb1075c1667,https://app.policylift.ai/calls/20911bea-2c4d-435a-b122-8fb1075c1667,filtered,unknown,unknown,unknown,Kelly introduces FOCO Insurance and language options.,0:00:45,1,"assistant: Hi this is Kelly with FOCO Insurance on a recorded line. Si desea continuar en español, diga ""Español"".",
,"Dec 26, 2025 12:11 PM",Dale Wagner Insurance,f25a7fed-9594-4799-a566-7521b87d690d,https://app.policylift.ai/calls/f25a7fed-9594-4799-a566-7521b87d690d,completed,unknown,claim,unknown,Customer requests urgent call from agent after hours.,0:00:33,3,"assistant: Hi there. This is Kelly from Dale Wagner Insurance. How can I help you today?
user: It's an emergency. If I could speak with an agent.
assistant: I understand this feels urgent and I am here to help. The agency is currently closed, but I can take a message for a licensed agent to get back to you as soon","=AI(""Please analyze the transcript in  and output a single enumerator, either english or spanish."" & M720)"
,"Mar 02, 2026 5:13 PM",Garage Sentinel,c15b24d6-197a-4a25-839c-2c2b01367cfe,https://app.policylift.ai/calls/c15b24d6-197a-4a25-839c-2c2b01367cfe,completed,unknown,service,general_inquiry,David from Gorsk Encompass requests Mike Vanloo,0:00:33,6,"assistant: Hi - Thanks for calling Garage Sentinel,this is Kelly on a recorded line. How can I help?

user: Hi, Kelly. This is David giving a call from Gorsk Encompass. I was looking to reach Mike Vanloo. I had a question regarding a policy that submitted to Bind.
assistant: Oh, okay. Mike's actually not available right now, but I can try to get a licensed agent to help with your policy question. Hang on a sec.
assistant: Let me connect you with one of our agents who can help you further. Please hold for a moment.
user: Okay. Thank you.
assistant: Yeah. No problem. One moment.","=AI(""Please analyze the transcript in  and output a single enumerator, either english or spanish."" & M721)"
,"Jan 24, 2026 5:00 PM",Guardians of the State Insurance,c0ef9c36-ce3c-4fdf-93eb-6d7994c627ff,https://app.policylift.ai/calls/c0ef9c36-ce3c-4fdf-93eb-6d7994c627ff,completed,unknown,quote,unknown,Spanish speaker called after business hours for help,0:00:33,5,"assistant: Hi - Thanks for calling Guardians of the State Insurance,this is Judah on a recorded line. How can I help?

user: I'll I'll I'll please
assistant: Oh, okay. Can you tell me a little more about what you need help with? Are you looking for a quote, or do you have a question about your existing insurance, or something else?
user: Another speak Spanish. Please.
assistant: Hey, thanks for calling Guardians of the State Insurance. We’re actually closed right now, but I can help answer general questions or get a quote started if you want. What kind of insurance are you looking for today?","=AI(""Please analyze the transcript in  and output a single enumerator, either english or spanish."" & M722)"
,"Feb 03, 2026 5:15 PM",Guardians of the State Insurance,3b9a0918-063c-448e-a72a-2f1c444fbcd8,https://app.policylift.ai/calls/3b9a0918-063c-448e-a72a-2f1c444fbcd8,filtered,unknown,unknown,unknown,Caller reached Guardians of the State Insurance for help,0:00:01,1,"assistant: Hi - Thanks for calling Guardians of the State Insurance,this is Judah on a recorded line. How can I help?
",
